"id","selfish99","selfish975","selfish95","selfish90","selfish75","impartial05","impartial10","stochastic_symmetricd01","stochastic_symmetricd05","stochastic_symmetricd10","CCEI_nonstochastic_sym90","CCEI_nonstochastic_sym95","reject_SRISK = PRISK","reject_SRISK = SOCIAL","reject_SOCIAL = PRISK","reject_ALL DOMAINS","p_SRISK = PRISK","p_SRISK = SOCIAL","p_SOCIAL = PRISK","p_ALL DOMAINS","reject_mSRISK = mPRISK","reject_mSRISK = mSOCIAL","reject_mSOCIAL = mPRISK","reject_mALL DOMAINS","p_mSRISK = mPRISK","p_mSRISK = mSOCIAL","p_mSOCIAL = mPRISK","p_mALL DOMAINS"
123,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0.1356195,0,0,0,0,1,1,1,0.5256120799999999,0,0,0
124,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0.376398,0,0,0
125,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0.88308542,1,0.8665843199999999,1,0,0,0,0,0.8644755000000002,1,0.8970904799999999,1
126,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0.88457952,0.8938206199999998,0.6193233270559999
127,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0.59014368,0,0,0,0,1,1,1,0.6350645,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.69556448,0.0011998199999998516,0,0,0,1,1,1,0.22979072,0,0,0
129,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.6519180000000002,3.808800000000019e-4,0.0031987200000000993,0.01555947515200029,1,1,1,1,0.017163019999999918,0,0,0
130,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0.007991999999999999,0,0,0,1,1,1,1,0,0,0,0
131,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0.011981999999999937,3.9997999999985545e-4,1,0.019138625535999987,0,1,0,0,0.052846219999999944,0.015171120000000204,0.8617612800000001,0.24541596896599982
132,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0.44979168000000014,0.0011998199999998516,0.5898078200000001,0.010182669826000135,1,1,0,1,0.003598380000000123,0,0.22037021999999995,0
133,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0.043757999999999964,0,0,0,1,1,1,1,0.0015996799999997702,0,0,0
134,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0.00599549999999982,0,1,1,1,1,0,0,0,0
135,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.1755679800000003,0,0,0,1,1,1,1,3.9997999999985545e-4,0,0,0
301,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3630358200000001,0.0011998199999998516,0.15833567999999998,0.00239904012799963,0,0,1,0,1,0.9832620000000001,0.017163019999999918,0.27330939070399984
302,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0.0031987200000000993,1,0.024723119999999987,0.029256175298000064,1,0,1,1,0,1,0,0
303,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.6705718199999999,1.7999999999996035e-7,0,0,0,1,1,1,1,0,0,0
304,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0.005596079999999892,0.0011998199999998516,0.0029985002499997027,0,1,1,1,0.29835648000000003,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14217912,0.4314252799999998,0.25862432,0.3372410123459999,1,0,0,1,7.99919999999954e-4,1,0.07253021999999998,0.005994001999999998
306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2.738000000000054e-5,7.780339999999914e-7,0,1,1,1,1,0,3.9997999999985545e-4,0.008388245487999768
307,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0.006394880000000214,5.999400020000323e-4,1,0,1,1,0.0011998199999998516,0.6228639200000001,7.99919999999954e-4,5.999400020000323e-4
308,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0.02193949999999978,0,0.1170358199999999,0,1,1,1,1,2.8880000000000388e-5,0,0,0
309,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0.011981999999999937,0,0,0,1,0,1,1,0,1,0,0
310,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.7467388800000001,0.009987499999999816,0.11167537999999996,0.042298255821999975,0,1,1,1,0.06508832,0,0,0
312,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1.920800000000012e-4,0,0,1,1,1,1,0,0,0,0
314,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0.24930527999999996,0.0031987200000000993,0.09172351999999995,0.008986506749999679,0,1,0,0,0.4317795000000002,0.023132720000000218,1,0.16787113574400037
315,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.24499999999999997,0.007193520000000175,0.0015996799999997702,0.0020240961280000025,0,0,1,1,0.05126718000000019,0.44379918000000007,0,0
316,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0.044153579999999915,0.16830200000000017,1,0.30896581836799997,1,0,0,1,0,0.08429262000000004,0.6620791800000001,5.999400020000323e-4
317,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.3558304799999999,0,0,0,1,1,1,1,0.0063168800000000065,0,0,0
